series,h,beta,mbb_lo,mbb_hi
non_aus_log,0,-0.13537649636615118,-0.2360057822645137,0.05958383074064165
non_aus_log,1,-0.009977739889407356,-0.13832828875051753,0.16392244060555156
non_aus_log,2,-0.104280411853797,-0.2357252813021518,0.15963670170990024
non_aus_log,3,0.05482174613118516,-0.17206243374530616,0.2898742016526542
non_aus_log,4,-0.011128626244937387,-0.18865560035529863,0.1995732427469795
non_aus_log,5,-0.0358378765304836,-0.24592611001981007,0.1989176743281219
non_aus_log,6,-0.004354804594665954,-0.19018083361621355,0.1863357386421193
non_aus_log,7,-0.026161875053269272,-0.1780549039957077,0.19810721361028555
non_aus_log,8,0.026467185812887158,-0.183513976194814,0.24098996545714077
non_aus_log,9,-0.0054165591382126285,-0.2439133042133113,0.24631217142534784
non_aus_log,10,-0.0463459790035584,-0.2301256649313419,0.21072166991438435
non_aus_log,11,-0.04157397310587994,-0.24042355645660266,0.2312067335142629
non_aus_log,12,-0.07656257328210718,-0.22629174952313966,0.2344228266784354
non_aus_mt,0,-0.7570968827740637,-1.3234040007038943,0.3250173361138083
non_aus_mt,1,-0.09284026482762826,-0.7705862278591475,0.8853080082692788
non_aus_mt,2,-0.6392323429045105,-1.3304036289773624,0.8119981619367691
non_aus_mt,3,0.2589430424105594,-0.9703865976837949,1.5636444841411656
non_aus_mt,4,-0.12315510380345944,-1.052269289330904,1.0680297697743653
non_aus_mt,5,-0.142582092032977,-1.2825021303297612,1.144293307641388
non_aus_mt,6,-0.09492071881490971,-1.0759763237062836,1.0026753382310427
non_aus_mt,7,-0.21458208031073167,-0.9731379699746658,1.065002011565015
non_aus_mt,8,0.15166731521670948,-0.9809731250678754,1.3690539591686457
non_aus_mt,9,-0.024663879007258534,-1.231497210772135,1.4084965328606351
non_aus_mt,10,-0.13649630414911795,-1.2220982916755179,1.2367545776842785
non_aus_mt,11,-0.23136971472273024,-1.2775489767198875,1.2901712311211626
non_aus_mt,12,-0.4006811670316971,-1.194546460437117,1.3579227405977672
total_log,0,-0.07125606981919023,-0.19994887676019224,0.015252769974232097
total_log,1,0.03729546150973271,-0.1204064343314363,0.12623123526089536
total_log,2,-0.015396247409849271,-0.1739541623314463,0.1503758437374937
total_log,3,0.03199982878561339,-0.18228170444603317,0.17859210901402295
total_log,4,0.03904908602377644,-0.16732991491772226,0.16166975726142568
total_log,5,0.056060483104983884,-0.20234788315658458,0.1782477355607909
total_log,6,0.050408716913123916,-0.15936825106313468,0.13276710842733716
total_log,7,0.05799887299293516,-0.1558465717198242,0.1490213354053979
